#Position (bp)	mapping quality
5.237496515E8	55.94797891227634
5.319976775E8	53.765472840697576
5.402457035E8	59.93866381285277
5.484937295E8	59.37928159243021
5.567417555E8	59.83886704978141
5.649897815E8	59.953918685706164
5.732378075E8	59.00337850549176
5.814858335E8	59.93898330737924
5.897338595E8	59.9828829053154
5.979818855E8	59.976229630328056
6.062299115E8	59.9842199937294
6.144779375E8	59.96820602714946
6.227259635E8	59.37128828891072
6.309739895E8	59.97932813336655
6.392220155E8	57.578430099340096
6.4728106E8	56.68865499737109
6.51405073E8	0.0
6.557180675E8	0.0
6.639660935E8	0.0
6.722141195E8	59.84000752411823
6.804621455E8	59.81967861078056
6.887101715E8	59.865891424707435
6.969581975E8	59.955688506492784
7.052062235E8	59.902300376691684
7.134542495E8	59.98664208784009
7.217022755E8	59.984513889238
7.299503015E8	59.98740621398721
7.381983275E8	59.80178967647095
7.464463535E8	59.96653063582017
7.546943795E8	59.99498564229671
7.62199406E8	57.893615017881075
7.66323419E8	0.0
7.711904315E8	0.0
7.794384575E8	0.0
7.876864835E8	44.826326913239335
7.959345095E8	59.91438835992272
8.041825355E8	59.676928568171135
8.124305615E8	59.973693669657116
8.206785875E8	59.96694915048551
8.289266135E8	59.77986275321089
8.371746395E8	59.90935408869972
8.454226655E8	59.976085255725316
8.536706915E8	57.53506033996954
8.619187175E8	48.04289385741016
8.69333434E8	56.95932850566464
8.72724992E8	0.0
8.72931433E8	0.0
8.731340445E8	0.0
8.73326804E8	0.0
8.73441596E8	0.0
8.73480431E8	0.0
8.735866135E8	0.0
8.73694888E8	29.54387509266123
8.74003757E8	0.0
8.784147695E8	0.0
8.866627955E8	0.0
8.949108215E8	37.731691814196935
9.031588475E8	34.05790356113838
9.114068735E8	58.61264274964527
9.196548995E8	59.568850138735506
9.279029255E8	59.96753304240448
9.361509515E8	59.645815031707556
9.443989775E8	57.453969122330946
9.526470035E8	59.52734472941565
9.608950295E8	57.22047313614096
9.691430555E8	59.982381104609644
9.744875075E8	59.776681537091655
9.759320705E8	0.0
9.788356445E8	57.39473038765063
9.856391075E8	59.983768341290755
9.938871335E8	46.94072504953459
1.0021351595E9	54.363199568614476
1.0103831855E9	58.91499913837181
1.0186312115E9	59.97959356275576
1.0268792375E9	59.91580038755621
1.0351272635E9	59.389028086265505
1.0433752895E9	57.41808883064431
1.0516233155E9	58.458606311903566
1.0598713415E9	54.70535877927998
1.065244947E9	59.87174765002141
1.067430919E9	34.20792767732962
1.0703053395E9	50.75144027415999
1.0763673935E9	56.90587797577419
1.0846154195E9	56.09964940085127
1.0928634455E9	59.15968899655561
1.1011114715E9	54.02413669705984
1.1093594975E9	54.572822442471626
1.1176075235E9	57.95933335953
1.1258555495E9	59.89559789552781
1.1341035755E9	59.820699036294556
1.1423516015E9	58.83487321699553
1.149050177E9	56.03443266437269
1.151717535E9	0.0
1.15195075E9	44.48823529411764
1.152147445E9	0.0
1.1534636805E9	59.93896160434589
1.1588476535E9	59.976648216499086
1.1670956795E9	59.937394879261994
1.1753437055E9	59.779359818296356
1.1835917315E9	59.98805622320977
1.1918397575E9	59.991118578038254
1.2000877835E9	59.20392799271973
1.2083358095E9	59.975464897272296
1.2165838355E9	56.63289600908767
1.2248318615E9	59.98451119319834
1.23076644E9	56.79031730471006
1.234890453E9	59.00528553913733
1.2413279135E9	55.53198032244723
1.2495759395E9	56.74833654018412
1.2578239655E9	58.17834391224081
1.2660719915E9	58.60305689513921
1.2743200175E9	55.95739470571737
1.2825680435E9	59.79047246946427
1.288943339E9	57.75266635605871
1.291282149E9	0.0
1.2913856925E9	0.0
1.2914655495E9	0.0
1.2915628205E9	0.0
