#Position (bp)	insert size
2.5445160215E9	222.80382947976878
2.5527640475E9	226.80701194201419
2.5610120735E9	228.5226584045487
2.5692600995E9	218.94119918699187
2.5775081255E9	220.84531231419982
2.5857561515E9	227.211071599535
2.5939979455E9	222.38765055724923
2.5981219585E9	0.0
2.6022522035E9	221.15052311846102
2.6105002295E9	225.88474948347107
2.6187482555E9	221.35632228443015
2.6269962815E9	226.86692931168602
2.6352443075E9	224.98171199733022
2.6434923335E9	220.80155810983396
2.6517403595E9	228.26672021793036
2.6599883855E9	220.91357968508237
2.6682364115E9	222.00381483238456
2.6764844375E9	231.92223322114432
2.6847324635E9	220.2192047940645
2.6929804895E9	224.20026828873418
2.7012285155E9	224.47613609881145
2.7094765415E9	217.27074939564866
2.7177245675E9	221.84948871165338
2.7259725935E9	217.63502470104805
2.7342206195E9	216.151780781555
2.7407994975E9	227.41512519435955
2.7449235105E9	230.47249111628477
2.7507166715E9	230.16455263928188
2.7589646975E9	224.1969207534505
2.7672127235E9	236.62539330001852
2.7754607495E9	235.24864459215243
2.7837087755E9	227.25984175051283
2.7919568015E9	0.0
2.8002048275E9	0.0
2.8084528535E9	218.77496942519363
2.8167008795E9	223.62964380485815
2.8249489055E9	218.9589697195466
2.8331969315E9	223.97648114006677
2.8414449575E9	223.6167257039954
2.8496929835E9	223.90635187197472
2.8579410095E9	222.10786239407375
2.8661890355E9	224.36209782406547
2.8744370615E9	218.40158573027782
2.880105077E9	222.63683692711322
2.8816691105E9	0.0
2.8817081685E9	0.0
2.881815618E9	0.0
2.8819235655E9	0.0
2.8821203125E9	219.23973214285715
2.88242567E9	171.8421052631579
2.8826085695E9	0.0
2.882755976E9	0.0
2.882939838E9	220.77452285841102
2.8830861915E9	225.3091565474237
2.8833246155E9	207.79242636746142
2.8835330345E9	0.0
2.8840139925E9	217.02673267326733
2.884682622E9	225.52802359882006
2.8849783395E9	236.0530303030303
2.8851293765E9	0.0
2.88523294E9	208.2135922330097
2.885380196E9	209.75096525096524
2.8855523165E9	214.70464135021098
2.8856843195E9	225.01136363636363
2.885822535E9	0.0
2.885958065E9	0.0
2.886082272E9	0.0
2.886192519E9	0.0
2.886295634E9	216.25276752767527
2.88640561E9	220.74061196105703
2.8865546035E9	219.85378323108384
2.8867224755E9	271.625
2.8868061825E9	0.0
2.886892758E9	210.32967032967034
2.887031009E9	0.0
2.8871976565E9	0.0
2.887400046E9	226.69757174392936
2.887577206E9	227.0698576972833
2.8877881565E9	0.0
2.8879687995E9	219.9879518072289
2.8881279725E9	245.42990654205607
2.888311843E9	210.99514563106797
2.8884852595E9	0.0
2.8886875845E9	205.0625
2.888985801E9	0.0
2.889229866E9	0.0
2.8895790755E9	224.9524348810872
2.889951796E9	0.0
2.8901135465E9	213.38316993464053
2.8902557705E9	0.0
2.8904186985E9	0.0
2.8906437185E9	0.0
2.8908288345E9	204.55797101449275
2.890981424E9	202.84968944099379
2.8911688005E9	209.3049504950495
2.8913080195E9	0.0
2.8914628095E9	0.0
2.8916585145E9	230.51276595744682
2.8925472575E9	226.50353178607466
2.893404342E9	0.0
2.8935413165E9	0.0
2.8937144E9	0.0
2.8938670755E9	203.0
2.894495074E9	231.43188405797102
2.896831261E9	231.35943107802737
2.8986932995E9	0.0
2.8988572775E9	0.0
2.8989957195E9	0.0
2.8994933275E9	223.73067915690868
2.89996607E9	0.0
2.900096484E9	0.0
2.9002881635E9	220.69301712779975
2.9005228225E9	242.38008415147266
2.9007376895E9	215.9
2.9009214585E9	216.76923076923077
2.9011053345E9	233.64733178654294
2.901244009E9	211.82188841201716
2.9018593855E9	224.23112076715614
2.902550898E9	220.5648148148148
2.9027498425E9	0.0
2.9029180535E9	218.4264705882353
2.9030958505E9	261.97058823529414
2.903236903E9	0.0
2.903378271E9	212.32467532467533
2.9035976075E9	241.27722772277227
2.9042365785E9	215.2370441458733
2.9048794465E9	198.25714285714287
2.9053418075E9	213.83409350057013
2.9057249595E9	0.0
2.905983073E9	0.0
2.906237048E9	216.29329608938548
2.9063221355E9	205.6
2.906419947E9	213.74954954954956
2.906652359E9	229.57990944155625
2.9068714015E9	234.7247037374658
2.9070190175E9	0.0
2.907136287E9	205.69961977186313
2.9072577055E9	211.02656546489564
2.9073733645E9	0.0
2.9076229215E9	227.72586872586874
2.9079320895E9	243.1156186612576
2.9081124645E9	0.0
2.9083581135E9	226.02235294117648
2.908607172E9	213.34133126934984
2.908806396E9	227.05625549370055
2.9090000085E9	209.6153846153846
2.909237002E9	215.0841170323929
2.909487479E9	245.06025824964132
2.909666712E9	0.0
2.9098444145E9	244.0622478386167
2.910040618E9	253.59078590785907
2.910170176E9	0.0
2.910297114E9	0.0
2.910473855E9	213.39795918367346
2.910761647E9	243.06788511749346
2.9109858275E9	226.54545454545453
2.9110662745E9	0.0
2.911245746E9	198.64801864801865
2.9114494045E9	210.33649289099526
2.911543586E9	0.0
2.9116129135E9	0.0
2.9117490855E9	208.82661996497373
2.9118852715E9	220.15882606819162
2.91203718E9	0.0
2.91216737E9	225.56441717791412
2.9122334675E9	0.0
2.9123573765E9	0.0
2.9125433715E9	216.19736842105263
2.9126854405E9	0.0
2.9128219235E9	0.0
2.913059947E9	216.67719298245615
2.913232047E9	203.70967741935485
2.9134117735E9	207.64859002169197
2.914328412E9	222.43802175562863
2.915174319E9	208.80102040816325
2.915940367E9	215.05485398579322
2.916855563E9	245.16981132075472
2.9172265895E9	176.0
2.9175218075E9	216.23846153846154
2.917833762E9	0.0
2.918104484E9	227.49322033898306
2.918421329E9	209.2983293556086
2.9188311555E9	207.73629242819842
2.919113692E9	216.20825852782764
2.9192127795E9	255.44897959183675
2.919361199E9	216.91059798697455
2.919639416E9	206.46943972835314
2.920969266E9	214.0933788598575
2.9222335585E9	207.6282225237449
2.9223746255E9	206.7391304347826
2.922607307E9	205.70700636942675
2.922990831E9	214.87435456110154
2.9232848535E9	232.86504111142614
2.9248217345E9	220.16283865055271
2.926399337E9	219.25624791736087
