#Position (bp)	insert size
2.7407994975E9	227.35748067364247
2.7449235105E9	230.3778728606357
2.7507166715E9	230.1809709685289
2.7589646975E9	224.18361700343758
2.7672127235E9	236.47842592592593
2.7754607495E9	235.19032885566804
2.7837087755E9	227.17999023914103
2.7919568015E9	0.0
2.8002048275E9	0.0
2.8084528535E9	218.7255501222494
2.8167008795E9	223.68732451886262
2.8249489055E9	218.8691444674855
2.8331969315E9	223.94828874607683
2.8414449575E9	223.62990239749757
2.8496929835E9	223.92503522084084
2.8579410095E9	222.09562907961921
2.8661890355E9	224.37202348676158
2.8744370615E9	218.3672686251121
2.880105077E9	222.64232409381663
2.8816691105E9	0.0
2.8817081685E9	0.0
2.881815618E9	0.0
2.8819235655E9	0.0
2.8821203125E9	219.31037567084078
2.88242567E9	171.8421052631579
2.8826085695E9	0.0
2.882755976E9	0.0
2.882939838E9	220.79288888888888
2.8830861915E9	225.20768977982254
2.8833246155E9	207.77591036414566
2.8835330345E9	0.0
2.8840139925E9	217.1228939544103
2.884682622E9	225.9057437407953
2.8849783395E9	236.0530303030303
2.8851293765E9	0.0
2.88523294E9	208.2135922330097
2.885380196E9	209.75096525096524
2.8855523165E9	214.70464135021098
2.8856843195E9	225.01136363636363
2.885822535E9	0.0
2.885958065E9	0.0
2.886082272E9	0.0
2.886192519E9	0.0
2.886295634E9	216.39154411764707
2.88640561E9	220.9819193324061
2.8865546035E9	219.76993865030676
2.8867224755E9	271.625
2.8868061825E9	0.0
2.886892758E9	210.32967032967034
2.887031009E9	0.0
2.8871976565E9	0.0
2.887400046E9	226.69757174392936
2.887577206E9	227.06355382619975
2.8877881565E9	0.0
2.8879687995E9	219.9879518072289
2.8881279725E9	245.28731343283582
2.888311843E9	210.99514563106797
2.8884852595E9	0.0
2.8886875845E9	205.0625
2.888985801E9	0.0
2.889229866E9	0.0
2.8895790755E9	224.7325779036827
2.889951796E9	0.0
2.8901135465E9	213.0735294117647
2.8902557705E9	0.0
2.8904186985E9	0.0
2.8906437185E9	0.0
2.8908288345E9	204.55797101449275
2.890981424E9	202.84968944099379
2.8911688005E9	209.34821428571428
2.8913080195E9	0.0
2.8914628095E9	0.0
2.8916585145E9	230.51276595744682
2.8925472575E9	226.72647849462365
2.893404342E9	0.0
2.8935413165E9	0.0
2.8937144E9	0.0
2.8938670755E9	203.0
2.894495074E9	231.1302460202605
2.896831261E9	231.33666001330673
2.8986932995E9	0.0
2.8988572775E9	0.0
2.8989957195E9	0.0
2.8994933275E9	223.3249708284714
2.89996607E9	0.0
2.900096484E9	0.0
2.9002881635E9	220.1907284768212
2.9005228225E9	242.65028089887642
2.9007376895E9	215.9
2.9009214585E9	216.76923076923077
2.9011053345E9	233.64733178654294
2.901244009E9	211.52090032154342
2.9018593855E9	224.21793815976642
2.902550898E9	220.5648148148148
2.9027498425E9	0.0
2.9029180535E9	218.4264705882353
2.9030958505E9	261.97058823529414
2.903236903E9	0.0
2.903378271E9	212.32467532467533
2.9035976075E9	241.27722772277227
2.9042365785E9	215.39193083573488
2.9048794465E9	198.25714285714287
2.9053418075E9	213.3494318181818
2.9057249595E9	0.0
2.905983073E9	0.0
2.906237048E9	216.29329608938548
2.9063221355E9	205.6
2.906419947E9	213.74954954954956
2.906652359E9	229.55462325893606
2.9068714015E9	234.91240875912408
2.9070190175E9	0.0
2.907136287E9	205.69961977186313
2.9072577055E9	211.02656546489564
2.9073733645E9	0.0
2.9076229215E9	227.72586872586874
